id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
39688464,Mercedes GLE 2020 Designo,15000000,2020,4matic 300d,Noir,Carte grise / safia,55000km,Mercedes,GLE,Designo,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
38341156,Daihatsu تريوس 2009 ,1450000,2009,,Noir,Carte grise / safia,245km,Daihatsu,تريوس,,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Vitres éléctriques,
39697163,Renault Captur 2021 Captur,4000000,2021,,Gris,Carte grise / safia,65000km,Renault,Captur,Captur,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
41126503,Kia Picanto 2013 Style,1220000,2013,1.2 ess CVVT 87ch,Blanc,Carte grise / safia,350000km,Kia,Picanto,Style,,,,,,,,,,,,,,,,
40195348,Seat Leon 2018 FR,4150000,2018,2.0 TDI 143ch,Noir,Carte grise / safia,150000km,Seat,Leon,FR,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40575021,Peugeot 207 2012 Allure,1870000,2012,1.6 HDI 112ch,Blanc,Carte grise / safia,199km,Peugeot,207,Allure,,,Climatisation,ABS,Retroviseurs électriques,Alarme,Jantes Alliage,,,,,,,,,
40941631,Volkswagen Golf 7 2014 ,10000,2014,,Blanc,Carte grise / safia,300000km,Volkswagen,Golf 7,,,,Climatisation,Toit ouvrant,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41024263,Peugeot 206 2000 206,500000,2000,1.9 D 70ch,Blanc,Carte grise / safia,228000km,Peugeot,206,206,,,Climatisation,ABS,Alarme,Vitres éléctriques,,,,,,,,,,
40905019,Seat ARONA 2021 Style,10000,2021,,Autre,Carte grise / safia,42000km,Seat,ARONA,Style,,,,,,,,,,,,,,,,
40159315,Mercedes Classe E 2015 E 250 carlsson,10000,2015,250 CDI 204ch,Noir,Carte grise / safia,145000km,Mercedes,Classe E,E 250 carlsson,,,Climatisation,,,,,,,,,,,,,
38382001,Renault Clio 4 2019 GT Line,1110000,2019,1.5 Dci 110ch,Noir,Carte grise / safia,48000km,Renault,Clio 4,GT Line,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40534323,Renault Symbol 2016 Made In Bladi,100000,2016,1.6 ess 100ch,Gris Argent,Carte grise / safia,194000km,Renault,Symbol,Made In Bladi,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40970341,Renault Clio 4 2018 GT Line +,1110000,2018,1.5 DCI 85ch,Blanc,Carte grise / safia,113000km,Renault,Clio 4,GT Line +,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,
41028559,Volkswagen Caddy 2018 Caddy,10000,2018,1.6 TDi 102ch,Blanc,Carte grise / safia,230000km,Volkswagen,Caddy,Caddy,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Feux du jour,Vitres éléctriques,,,
40722982,Hyundai Accent 2019 Accent,3330000,2019,1.6 CRDI 128ch,Gris,Carte grise / safia,123000km,Hyundai,Accent,Accent,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40879975,Dacia Dester 2023 Guold,1110000,2023,1.5 dci 115,Noir,Carte grise / safia,400km,Dacia,Dester,Guold,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40263277,Nissan Pathfinder 2008 Pathfinder,10000,2008,,Beige,Carte grise / safia,1km,Nissan,Pathfinder,Pathfinder,,,ABS,,,,,,,,,,,,,
40968787,Mercedes Classe E 2009 E250,2800000,2009,211 bleu efic,Noir,Carte grise / safia,168km,Mercedes,Classe E,E250,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40985824,Volkswagen Caddy 2019 ,3200000,2019,1.6 TDi 102ch,Gris Souris,,124000km,Volkswagen,Caddy,,,,,,,,,,,,,,,,,
33557366,Volkswagen Caddy 2017 Highline,4250000,2017,2.0 TDi 110ch,Noir,Carte grise / safia,123000km,Volkswagen,Caddy,Highline,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
