id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
40237114,Volkswagen Golf 7 2015 GTD,4200000,2015,2.0 TDI 184ch DSG,Noir,Carte grise / safia,167km,Volkswagen,Golf 7,GTD,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40234380,Peugeot 207 2010 Active,1450000,2010,1.4 ess 75ch,Gris,Carte grise / safia,360km,Peugeot,207,Active,,,Climatisation,Toit ouvrant,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40234291,Renault Sandrine stepway 2018 Stepway,2580000,2018,1.5 dci,Gris Souris,Carte grise / safia,151km,Renault,Sandrine stepway,Stepway,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
38851648,Renault Megane IV 2022 Business,450000,2022,115,Bleu,Carte grise / safia,29000km,Renault,Megane IV,Business,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Feux du jour,Vitres éléctriques,,,
40237084,Dacia Duster 2021 Duster,1110000,2021,1.5 DCI 4X4 110ch,Bleu Gauloise,Carte grise / safia,48000km,Dacia,Duster,Duster,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40236723,Volkswagen T-roc 2021 ,10000,2021,,Gris Manitoba,Carte grise / safia,72000km,Volkswagen,T-roc,,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40236583,Kia Carens 2009 ,10000,2009,1.6 CRDI 115ch,Gris Manitoba,Carte jaune,1km,Kia,Carens,,,,,,,,,,,,,,,,,
40236427,Volkswagen Jetta 1989 Classic ,290000,1989,1.9d,Vert,Carte grise / safia,,Volkswagen,Jetta,Classic ,,,Direction assisstée,,,,,,,,,,,,,
40236334,Suzuki Alto 2008 Alto,530000,2008,1.0 ess 68ch,Bleu Ciel,Carte grise / safia,314km,Suzuki,Alto,Alto,,,Climatisation,,,,,,,,,,,,,
40236097,Faw Xiali 2009 ,350000,2009,1.1,Gris Argent,Carte grise / safia,110km,Faw,Xiali,,,,ABS,ESP,Phares antibrouillard,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,,
40236046,Suzuki Maruti 800 2008 Maruti 800,480000,2008,0.8 ess 47ch,Gris,Carte grise / safia,380km,Suzuki,Maruti 800,Maruti 800,,,,,,,,,,,,,,,,
40235902,Mercedes GLC 2020 GLC,11000000,2020,,Noir,,78000km,Mercedes,GLC,GLC,,,,,,,,,,,,,,,,
40235845,Haima 2 2013 2,10000,2013,1.3 VVT 16V 83ch,Gris,Carte grise / safia,230km,Haima,2,2,,,Climatisation,ABS,,,,,,,,,,,,
40235799,Peugeot 207 2009 Sportium,1350000,2009,1.6 HDI 90ch,Gris,Carte grise / safia,560000km,Peugeot,207,Sportium,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,
40235740,Peugeot 407 2005 407,1300000,2005,2.0 HDI 136ch,Noir,Carte grise / safia,450000km,Peugeot,407,407,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
36142373,Peugeot 4008 2015 ,10000,2015,1.8 HDI 4WD 140ch,Gris Manitoba,Carte grise / safia,218000km,Peugeot,4008,,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40225825,Renault Scenic 2006 Scenic,1100000,2006,1.5 DCI 105ch,Gris Souris,Carte grise / safia,345000km,Renault,Scenic,Scenic,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Vitres éléctriques,,,,,
40223776,Skoda Yeti 2013 Yeti,3000000,2013,2.0 TDI 4X4 140ch,Gris Argent,Carte grise / safia,250000km,Skoda,Yeti,Yeti,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40210387,Dacia Duster 2021 ,4050000,2021,1.6 ess 4X2 105ch BVA,Blanc,Carte grise / safia,56000km,Dacia,Duster,,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40207123,Skoda kamiq 2021 toutes options,4120000,2021,1.0,Noir,Carte grise / safia,90000km,Skoda,kamiq,toutes options,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
39205235,Hyundai Tucson 2012 Ix35,11110000,2012,Crdi,Noir,Carte grise / safia,264000km,Hyundai,Tucson,Ix35,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
37743967,Chery Double cabine 2018 Double cabine,1110000,2018,'',Gris,Carte grise / safia,58000km,Chery,Double cabine,Double cabine,,,Climatisation,ABS,Direction assisstée,Phares antibrouillard,,,,,,,,,,
40232298,Kia K2500 2020 K2500,10000,2020,2.5l diesel 130ch,Blanc,Carte grise / safia,78000km,Kia,K2500,K2500,,,Climatisation,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Vitres éléctriques,,,,,,,,
40227666,Volkswagen Caddy 2019 Business,3050000,2019,1.6 TDi 102ch,Gris,Carte grise / safia,139000km,Volkswagen,Caddy,Business,,,Climatisation,ABS,ESP,Direction assisstée,Radio CD,Alarme,Feux du jour,Vitres éléctriques,,,,,,
40216063,Seat Ibiza 2019 ,3000000,2019,1.6 MPi 110 ch,Blanc,Carte grise / safia,162km,Seat,Ibiza,,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
39689177,Peugeot 106 2001 ,850000,2001,1.5 D 58ch,Blanc,,,Peugeot,106,,,,,,,,,,,,,,,,,
36173113,Audi A6 2023 A6,10000,2023,200ch,Noir,Licence / Délai,1km,Audi,A6,A6,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40233970,Toyota Yaris Sedan 2014 Style,2650000,2014,1.3 VVTI 87ch,Blanc,Carte grise / safia,203000km,Toyota,Yaris Sedan,Style,,,,,,,,,,,,,,,,
40233646,Peugeot Partner 2011 Tepee,2300000,2011,1.6 hdi 110ch,Gris Alluminium,Carte grise / safia,255000km,Peugeot,Partner,Tepee,,,,,,,,,,,,,,,,
40233139,Kia Sonet 2024 10/10 tout options,5300000,2024,5,Blanc,Carte grise / safia,1000km,Kia,Sonet,10/10 tout options,,,Climatisation,ABS,ESP,Retroviseurs électriques,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,
40233121,Suzuki Grand Vitara 2007 Grand Vitara,10000,2007,1.9 DDIS 129ch,Gris Argent,Carte grise / safia,300000km,Suzuki,Grand Vitara,Grand Vitara,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Vitres éléctriques,,,,,
33864074,Suzuki Maruti Zen 2006 Maruti Zen,1230000,2006,1.0 ess 68ch,Gris,Carte grise / safia,111km,Suzuki,Maruti Zen,Maruti Zen,,,,,,,,,,,,,,,,
